City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Tamiahua,MX,2022-07-17 20:11:53,21.2667,-97.45,87.31,58,6,9.64
251,Czestochowa,PL,2022-07-17 20:11:53,50.7965,19.1241,58.08,55,16,5.14
252,San Jose,US,2022-07-17 20:11:45,37.3394,-121.895,95.9,43,20,11.5
253,Marawi,PH,2022-07-17 20:11:54,7.9986,124.2928,68.9,95,99,3.38
254,Sakakah,SA,2022-07-17 20:09:37,29.9697,40.2064,93.04,15,30,6.38
255,Epernay,FR,2022-07-17 20:11:54,49.05,3.95,76.28,27,30,4.41
256,San Cristobal,VE,2022-07-17 20:11:55,7.7669,-72.225,80.78,53,58,6.58
257,Hasaki,JP,2022-07-17 20:08:26,35.7333,140.8333,73.8,90,98,9.48
258,Cherskiy,RU,2022-07-17 20:11:55,68.75,161.3,37.98,57,97,14.9
259,Hamilton,US,2022-07-17 20:08:25,39.1834,-84.5333,74.25,94,100,12.66
260,Lavrentiya,RU,2022-07-17 20:11:56,65.5833,-171.0,46.78,97,100,8.5
261,Ostersund,SE,2022-07-17 20:11:56,63.1792,14.6357,54.61,87,75,8.01
262,Yulara,AU,2022-07-17 20:11:56,-25.2406,130.9889,48.07,45,61,9.31
263,Petropavlovka,RU,2022-07-17 20:11:57,50.6114,105.3196,57.69,86,39,1.57
264,Port-Gentil,GA,2022-07-17 20:11:57,-0.7193,8.7815,75.16,83,40,10.36
265,Mata,PT,2022-07-17 20:11:58,40.683,-7.4592,74.93,46,15,5.06
266,Roald,NO,2022-07-17 20:11:58,62.5833,6.1333,59.92,77,75,14.97
267,Pangoa,PE,2022-07-17 20:11:58,-12.1167,-73.0,86.18,47,20,5.3
268,Saskylakh,RU,2022-07-17 20:11:59,71.9167,114.0833,47.39,55,96,7.16
269,Chicama,PE,2022-07-17 20:11:59,-7.8447,-79.1469,61.34,60,0,10.18
270,Mana,GF,2022-07-17 20:11:59,5.6592,-53.7767,79.75,81,99,5.26
271,Dongdu,CN,2022-07-17 20:12:00,35.85,117.7,70.99,93,5,2.24
272,Kazerun,IR,2022-07-17 20:12:00,29.6195,51.6541,87.33,29,0,3.02
273,Bankura,IN,2022-07-17 20:12:00,23.25,87.0667,81.14,85,100,7.72
274,Nibbar,TN,2022-07-17 20:12:01,36.2941,8.7666,81.52,27,0,4.81
275,Kupang,ID,2022-07-17 20:12:01,-10.1667,123.5833,70.61,80,6,8.5
276,Attur,IN,2022-07-17 20:12:02,11.6,78.6167,77.88,87,100,5.53
277,Cidreira,BR,2022-07-17 20:13:02,-30.1811,-50.2056,55.69,66,33,11.92
278,Deputatskiy,RU,2022-07-17 20:12:20,69.3,139.9,45.72,66,98,2.48
279,Alpoyeca,MX,2022-07-17 20:13:03,17.6667,-98.5167,85.84,47,100,1.9
280,Ahmadabad,IN,2022-07-17 20:09:06,23.0333,72.6167,82.44,94,40,11.5
281,San Patricio,US,2022-07-17 20:13:03,28.017,-97.5169,99.32,36,53,16.55
282,Saint-Michel-Des-Saints,CA,2022-07-17 20:13:03,46.6834,-73.9159,81.93,53,100,4.47
283,Banda Aceh,ID,2022-07-17 20:13:04,5.5577,95.3222,79.45,82,95,4.21
284,Rorvik,NO,2022-07-17 20:13:04,64.8621,11.2373,53.58,93,75,13.8
285,Gweta,BW,2022-07-17 20:13:04,-20.1833,25.2333,59.79,46,0,11.63
286,Los Chiles,CR,2022-07-17 20:13:05,11.0333,-84.7167,88.03,57,98,7.0
287,Iqaluit,CA,2022-07-17 20:13:05,63.7506,-68.5145,41.7,93,100,5.01
288,Laguna,US,2022-07-17 20:13:06,38.421,-121.4238,104.09,29,0,6.91
289,Clinton,US,2022-07-17 20:08:28,42.587,-82.9199,79.84,81,100,9.22
290,Tokur,RU,2022-07-17 20:13:06,53.1333,132.9,54.5,97,86,2.73
291,Kirakira,SB,2022-07-17 20:13:06,-10.4544,161.9205,78.62,86,55,9.37
292,Muisne,EC,2022-07-17 20:13:07,0.6,-80.0333,75.74,84,100,10.4
293,Breytovo,RU,2022-07-17 20:13:07,58.2993,37.8617,57.67,77,100,2.33
294,Meulaboh,ID,2022-07-17 20:13:08,4.1363,96.1285,76.87,89,91,2.95
295,Oulainen,FI,2022-07-17 20:13:08,64.2667,24.8,54.81,92,100,4.38
