City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
234,Chaiyaphum,TH,81.64,broken clouds,15.75,102.0,BBM Hotel
235,Chapais,CA,78.58,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
236,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
240,Qui Nhon,VN,81.32,overcast clouds,13.7667,109.2333,Seagull Hotel
242,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
243,Jieshi,CN,82.83,overcast clouds,22.8134,115.8257,Yuehai Hotel
244,Peterhead,GB,82.45,broken clouds,57.5058,-1.7981,Palace Hotel
246,Mana,GF,83.17,broken clouds,5.6592,-53.7767,LE SAMANA
259,Isangel,VU,76.21,scattered clouds,-19.55,169.2667,Tanna Lodge
261,Hami,CN,83.25,scattered clouds,42.8,93.45,Laoyutang Resort
266,Sur,OM,85.96,broken clouds,22.5667,59.5289,Sur Plaza Hotel
267,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
269,Kadhan,PK,84.67,moderate rain,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
273,Kalmunai,LK,80.94,broken clouds,7.4167,81.8167,VS Villa
275,Guhagar,IN,77.68,overcast clouds,17.4842,73.1929,Hotel Seawinds
276,Luganville,VU,77.81,broken clouds,-15.5333,167.1667,The Espiritu Hotel
277,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
281,Coruripe,BR,78.91,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
283,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
285,Kirakira,SB,78.49,broken clouds,-10.4544,161.9205,SanBiz Lodge
287,Kieta,PG,78.37,clear sky,-6.2167,155.6333,Uruna Bay Retreat
288,Bethel,US,76.17,heavy intensity rain,41.3712,-73.414,Courtyard by Marriott Danbury
291,Adolfo Lopez Mateos,MX,82.92,scattered clouds,28.4667,-107.3,Hotel Victor Inn
299,Along,IN,76.05,moderate rain,28.1667,94.7667,Hotel West
305,Clemencia,CO,85.37,broken clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
306,Lasa,IT,88.68,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
308,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
310,Lorengau,PG,80.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
311,Kailua,US,77.02,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
312,Cururupu,BR,86.31,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
324,Eydhafushi,MV,81.27,overcast clouds,5.1033,73.0708,Soneva Fushi
326,Vadakku Valliyur,IN,80.78,overcast clouds,8.3833,77.65,AR
334,Anloga,GH,77.68,scattered clouds,5.7947,0.8973,Pin Drop Hotel
336,Tam Ky,VN,79.81,broken clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
339,Ibra,OM,82.22,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
347,Taos,US,84.54,clear sky,36.4072,-105.5731,El Monte Sagrado
350,Avanigadda,IN,80.87,overcast clouds,16.0215,80.9181,AP Camping
353,Parakou,BJ,75.06,light rain,9.3372,2.6303,Benin Metropole Hotel
355,Black River,JM,89.94,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
356,Kulhudhuffushi,MV,80.35,moderate rain,6.6221,73.07,Haajy Guest House 1
358,Radomsko,PL,76.51,overcast clouds,51.0671,19.4448,"HOTEL TED, Restauracja"
361,Ugoofaaru,MV,80.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
369,Lata,PT,77.99,clear sky,40.1629,-8.3327,Casa Maquia
371,Tahoua,NE,84.18,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
383,Aden,YE,82.99,broken clouds,12.7794,45.0367,Sama Emirate Hotel
384,Talavera,PH,76.71,heavy intensity rain,15.6167,120.9333,R&G's Resort
388,Morro Bay,US,84.13,clear sky,35.3658,-120.8499,Inn at Morro Bay
392,Feni,BD,80.37,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
398,Porbandar,IN,81.45,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
401,Alagir,RU,75.76,overcast clouds,43.0422,44.2222,SKIF tur
402,Guilin,CN,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
406,Palmer,US,78.35,light rain,42.1584,-72.3287,Wedgewood Motel
408,Nagod,IN,88.68,overcast clouds,24.5667,80.6,Aman kirna stor
409,Oga,IT,81.28,few clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
412,Itarema,BR,85.28,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
416,Mandalgarh,IN,84.88,broken clouds,25.2,75.1,दुर्गा टेंट हाऊस
422,Banjar,ID,76.73,overcast clouds,-8.19,114.9675,The Hamsa Resort
424,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
425,Tingo Maria,PE,79.11,moderate rain,-9.2895,-76.0088,Hospedaje Paraíso
426,Havelock,US,85.98,broken clouds,34.8791,-76.9013,Sherwood Motel
429,Abha,SA,75.45,few clouds,18.2164,42.5053,Abha Hotel
434,Cayenne,GF,87.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
435,Bayeux,BR,77.63,scattered clouds,-7.125,-34.9322,Infinity Motel
