City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Vieira De Leiria,PT,39.8695,-8.9324,84.85,58,20,17.27,few clouds
139,Iracoubo,GF,5.4802,-53.2011,82.65,74,56,7.05,broken clouds
140,Bandar,ID,2.05,99.75,75.0,97,97,2.86,overcast clouds
141,Srednekolymsk,RU,67.45,153.6833,53.78,57,97,5.61,overcast clouds
142,Pisco,PE,-13.7,-76.2167,62.65,77,13,8.05,haze
143,Hithadhoo,MV,-0.6,73.0833,82.76,75,100,12.3,light rain
144,Lavrentiya,RU,65.5833,-171.0,37.44,78,96,15.61,overcast clouds
145,Sao Filipe,CV,14.8961,-24.4956,75.38,78,86,16.91,overcast clouds
146,Port Macquarie,AU,-31.4333,152.9167,48.88,75,36,10.13,scattered clouds
147,Ekhabi,RU,53.5102,142.9671,52.43,95,85,12.35,overcast clouds
148,Ilulissat,GL,69.2167,-51.1,46.42,87,40,8.05,scattered clouds
149,Rafsanjan,IR,30.4067,55.9939,88.43,8,0,14.88,clear sky
150,Skibotn,NO,69.3913,20.2679,53.33,85,100,6.62,overcast clouds
151,Palu,ID,-0.8917,119.8707,75.78,85,100,2.46,overcast clouds
152,Savonlinna,FI,61.8699,28.88,62.65,63,20,4.61,few clouds
153,Carutapera,BR,-1.195,-46.02,83.97,68,18,11.54,few clouds
154,Korla,CN,41.7597,86.1469,84.94,15,3,5.84,clear sky
155,Torbay,CA,47.6666,-52.7314,79.88,54,40,18.41,scattered clouds
156,Pervomayskoye,RU,43.919,46.7102,88.57,30,39,7.38,scattered clouds
157,Chuy,UY,-33.6971,-53.4616,55.38,59,16,8.68,few clouds
158,Longyearbyen,SJ,78.2186,15.6401,53.44,62,20,14.97,few clouds
159,Severo-Kurilsk,RU,50.6789,156.125,51.84,96,49,4.76,scattered clouds
160,Mastic Beach,US,40.7668,-72.8521,80.8,94,100,13.0,mist
161,Paita,PE,-5.0892,-81.1144,69.24,69,98,10.89,overcast clouds
162,Merauke,ID,-8.4667,140.3333,75.22,91,91,12.55,overcast clouds
163,Guane,CU,22.2025,-84.0875,90.19,54,2,9.89,clear sky
164,Airai,TL,-8.9266,125.4092,52.27,77,100,2.21,overcast clouds
165,Tartagal,AR,-22.5164,-63.8013,69.22,32,53,5.01,broken clouds
166,Tahe,CN,52.3333,124.7333,61.07,94,19,2.64,few clouds
167,Port Elizabeth,ZA,-33.918,25.5701,64.31,90,75,3.44,broken clouds
168,Vrangel,RU,42.7297,133.0839,64.74,85,98,5.84,overcast clouds
169,Carnarvon,AU,-24.8667,113.6333,64.83,65,0,13.22,clear sky
170,Alice Springs,AU,-23.7,133.8833,42.35,39,18,0.0,few clouds
171,Grand Gaube,MU,-20.0064,57.6608,70.38,65,84,7.0,broken clouds
172,Thinadhoo,MV,0.5333,72.9333,82.94,74,100,9.95,overcast clouds
173,Mering,DE,48.2656,10.9846,85.71,22,75,9.22,broken clouds
174,Fayaoue,NC,-20.65,166.5333,76.55,86,70,16.78,broken clouds
175,Perevolotskiy,RU,51.8763,54.1938,80.35,49,93,18.21,overcast clouds
176,El Carmen De Bolivar,CO,9.7174,-75.1202,85.73,67,96,4.63,overcast clouds
177,Houlton,US,46.1262,-67.8403,89.73,45,0,6.91,clear sky
178,Ancud,CL,-41.8697,-73.8203,44.22,72,95,7.29,light rain
179,Atbasar,KZ,51.8,68.3333,69.01,61,67,4.43,broken clouds
180,Ahuimanu,US,21.4447,-157.8378,76.75,88,100,12.66,light rain
181,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,40,9.22,scattered clouds
182,Eau Claire,US,44.8114,-91.4985,86.92,69,0,8.99,clear sky
183,Colares,PT,38.7992,-9.4469,80.26,61,20,14.0,few clouds
184,Hamilton,US,39.1834,-84.5333,77.76,85,100,3.44,overcast clouds
185,Kruisfontein,ZA,-34.0033,24.7314,57.31,87,14,3.33,few clouds
186,Puri,IN,19.8,85.85,82.92,87,66,12.57,broken clouds
187,Butaritari,KI,3.0707,172.7902,81.82,78,10,16.87,light rain
188,Karaton,ID,-6.3424,106.1045,73.94,94,16,0.69,few clouds
189,Awjilah,LY,29.1081,21.2869,97.12,13,0,5.82,clear sky
190,Caravelas,BR,-17.7125,-39.2481,77.95,55,47,8.28,scattered clouds
191,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
192,Bairnsdale,AU,-37.8333,147.6167,42.06,94,95,1.79,light rain
193,Winchester,GB,51.0651,-1.3187,103.28,27,0,10.36,clear sky
194,Businga,CD,3.3333,20.8833,72.32,97,100,2.48,moderate rain
195,Namibe,AO,-15.1961,12.1522,65.5,87,13,8.08,few clouds
196,Tiksi,RU,71.6872,128.8694,37.83,97,100,8.95,overcast clouds
197,Alihe,CN,50.5667,123.7167,62.78,97,100,1.01,overcast clouds
198,Sinnamary,GF,5.3833,-52.95,82.45,76,71,6.08,broken clouds
199,East London,ZA,-33.0153,27.9116,65.34,59,0,5.75,clear sky
200,Mandalgovi,MN,45.7625,106.2708,73.26,30,100,6.93,overcast clouds
201,Garmsar,IR,35.2182,52.3409,95.23,10,0,4.18,clear sky
202,Ipixuna,BR,-1.7625,-48.8043,86.85,58,45,3.76,scattered clouds
203,Sterling,US,39.0062,-77.4286,90.41,72,75,13.0,broken clouds
204,Bukachacha,RU,52.9833,116.9167,57.24,83,2,2.55,clear sky
205,Vila Velha,BR,-20.3297,-40.2925,82.35,75,20,10.36,few clouds
206,Muros,ES,42.7762,-9.0603,76.68,71,2,12.06,clear sky
207,Mount Isa,AU,-20.7333,139.5,53.37,62,0,1.14,clear sky
208,Mino,JP,34.8269,135.4706,80.91,92,100,4.61,moderate rain
209,Beringovskiy,RU,63.05,179.3167,47.32,54,17,15.66,few clouds
210,Sand Springs,US,36.1398,-96.1089,93.72,52,0,11.5,clear sky
211,Megyaszo,HU,48.1833,21.05,81.54,22,45,3.27,scattered clouds
212,Muroto,JP,33.2833,134.15,80.02,90,100,17.56,overcast clouds
213,Hirara,JP,24.8,125.2833,84.63,85,100,19.64,overcast clouds
214,Dasoguz,TM,41.8363,59.9666,96.75,23,0,11.5,clear sky
215,Olafsvik,IS,64.8945,-23.7142,52.74,75,99,3.31,overcast clouds
216,Hofn,IS,64.2539,-15.2082,50.7,86,100,11.77,overcast clouds
217,Hudson Bay,CA,52.85,-102.3842,78.04,52,0,3.29,clear sky
218,Nioki,CD,-2.7167,17.6833,77.92,68,91,4.94,light rain
219,Lamu,KE,-2.2717,40.902,77.22,78,53,17.94,broken clouds
